91920	229424	208148	99954	98654	293761	196075	191821	95380	95128	96876	101523	101232	107993	109537	107661	338868	666924	699343	622161	578006	470010	380973	355617	143028	219944	343353	270593	199254	124065	92962
21669	51556	51796	26156	26479	79038	51204	48260	23360	22505	22623	21793	22057	22525	21956	20148	59354	126702	133273	121405	108172	81080	68632	61026	23956	35826	56075	42466	31373	19299	13305
216424	537801	493182	247177	234707	695845	466561	459110	222299	226305	224672	232218	251111	283328	288712	274002	818432	1554061	1594999	1419374	1301120	1055050	889538	810990	334015	497529	758430	599296	464762	297864	241541
78374	197512	180450	88620	86469	264079	179187	176604	84781	89331	89617	93469	103801	119748	117479	115061	310561	575825	576404	528571	479706	384150	320949	295333	116358	174141	277867	208252	153277	93804	68857
8534	19400	20027	10275	10272	31369	20050	19486	9376	9547	8386	8959	9348	10239	10386	9769	26827	50392	54618	50687	40225	30642	25702	26089	11066	16140	25261	22332	19062	13182	11152
138789	325972	319142	160560	155040	481580	318663	300481	146710	150995	150640	155224	160787	174476	166138	157931	459223	868055	937117	855190	764230	599721	515676	482446	196298	299957	470360	364447	265812	168356	137099
38979	92826	92025	47644	47582	148618	96267	91497	45403	45845	44409	45750	45905	50110	47589	44405	125307	250659	264004	238909	213399	177462	149308	140623	54411	83055	131862	104004	85375	58405	43948
35668	83630	82541	41553	42307	126636	83499	79127	37921	37675	37050	36800	37057	39747	39914	37007	108820	211886	243485	251391	224952	167719	129382	115661	46137	73625	123543	102356	78479	49631	37122
137933	335814	322726	156000	155038	472874	312572	300444	145266	150160	150671	157444	170143	189540	185454	176662	489970	917004	1001164	917717	821495	661520	563347	552732	235992	372250	592601	483663	361594	223814	168039
11617	29146	26278	13132	13438	37416	24508	23488	11432	11384	11803	12363	15813	19094	18297	17747	47552	84525	89698	78369	68237	54406	43565	42399	18357	28400	47375	39062	29916	18731	15916
43627	109761	101776	51312	49892	154783	105222	101571	48488	50888	51608	53120	57465	64064	60020	58033	157483	295677	300857	277098	249005	197580	160167	146145	56902	88030	141286	106811	73604	44971	29457
