4447100	2144463	29756	29805	29594	30107	30476	31271	31224	32934	33023	33460	34807	33586	32708	31562	33352	32432	32234	31808	32541	32443	33105	30925	30941	28404	28611	28037	27795	29807	30384	32240	30682	28416	28832	28673	30592	32553	33616	33208	33527	34642	35465	33521	35228	34546	33865	32196	30732	31045	30484	29033	28653	27956	28867	28772	22316	22319	22770	22797	19850	19640	19139	17984	18228	17012	16854	16558	15753	15008	15650	14515	14008	13282	12941	12710	11789	10422	9577	9261	8641	7004	7271	6099	4684	4307	4193	3627	2800	2634	1876	1392	1296	1076	782	587	367	278	223	145	85	43	153	15	26	2302637	29457	29184	28414	28581	29448	29505	30253	30909	31023	32908	31976	30303	30809	30912	31554	31225	30584	31428	31521	32756	34398	32115	30801	29615	28912	28677	28366	30139	32111	32463	30931	29729	30054	29745	31553	34342	34664	35781	35335	36567	35990	36557	35741	36326	34010	35129	33771	31924	31841	30025	31525	29650	30410	29499	23550	24189	24568	24817	22535	21378	21421	20766	20482	19065	19470	19659	17754	18121	18065	18313	17462	17018	18210	17041	16211	16031	15270	14590	13148	12980	12454	11127	9199	9396	8272	8063	6922	6412	4900	4579	3704	3149	2825	2126	1519	1372	972	684	474	365	493	43	27
626932	324282	4811	4845	4673	4875	5084	5011	5164	5646	5673	6348	5982	5683	5868	5773	5822	5664	5433	5934	4723	4342	4651	4576	3946	3955	4124	4519	4047	4581	4200	4890	5076	4615	4511	4795	4983	5704	5704	5643	5665	6206	6122	5444	6362	5991	6346	5951	5635	5788	5479	5140	5189	4691	4799	4129	3284	3661	3204	2972	2501	2428	2241	1926	1814	1541	1472	1392	1489	1155	1181	1095	1129	944	1073	821	755	734	671	714	452	403	480	272	260	233	209	176	147	168	131	113	65	47	15	14	21	15	6	10	11	0	26	0	0	302650	4441	4665	4526	4599	4673	4831	4930	4953	5563	5798	5678	5594	5790	5363	5409	5143	5343	4919	4075	3552	3831	3859	3597	3793	3845	4089	3924	3696	4245	4706	4615	4464	4537	4390	4326	5215	4961	5570	5686	5771	5601	6141	5919	5835	5808	5715	5361	4829	5206	4526	4559	4038	3717	3780	3065	3005	2759	2612	2392	2121	1766	1559	1585	1611	1509	1463	1151	1207	1068	1225	1119	1031	906	922	854	807	716	788	717	677	569	456	501	383	382	248	291	191	251	172	151	114	80	45	46	72	11	23	10	12	7	0	0
5130632	2556483	39163	38373	38828	38474	38557	40955	39078	40622	40673	41565	40512	39263	38048	37934	38406	36560	35639	35922	38372	39585	38877	37719	37282	37655	38426	38668	36494	37518	38681	42444	41086	38511	36678	37047	36993	39733	40494	40414	41641	40463	40671	38802	40054	37167	35809	36158	33453	32592	31374	30494	31210	29658	29609	29419	22777	23853	23104	23335	20723	20047	20178	19485	19367	19179	18503	18348	17690	18517	17645	18206	18788	16397	16294	15504	15072	14517	12988	11971	12520	10971	9304	8184	7587	6617	5947	4683	3888	3249	2680	2191	1700	1128	1245	712	461	386	264	185	42	137	77	14	0	2574149	37571	37380	35794	36804	36964	37574	38185	38212	39264	38809	39119	37037	35830	35859	36443	35547	33160	34577	35295	36037	36138	33416	34161	34211	34573	35128	33259	34439	37067	38700	37926	34360	34867	34767	35344	39711	40366	38935	38575	39035	40408	37474	38376	37782	37131	35932	35365	33581	31882	32141	31954	32102	31233	31022	24729	25376	26078	26006	24507	23387	22658	21454	20477	20616	20541	20516	19621	20087	19606	20205	19755	18563	18781	18038	18044	17572	16928	15836	15587	14439	12939	11874	10193	9476	8575	7675	7098	6072	4779	4506	3663	2910	2123	1676	1326	773	792	440	389	270	345	11	15
2673400	1303332	18525	18413	18809	18647	18254	18324	18577	19341	19702	20304	20063	19612	20180	19188	19799	20609	20221	20438	18907	19798	21095	18956	18286	17643	17513	17605	16993	17086	17625	18676	18131	17744	16733	16928	17787	19644	19612	20239	20050	20703	20345	19532	20028	19995	19675	18771	17889	18273	17904	16944	16675	16911	16945	17248	12958	13839	13900	13634	12575	12182	11894	11131	11591	10575	10614	10906	10224	10090	9373	9229	8368	8162	7946	8535	7538	7600	6727	6611	5725	5364	4740	4260	3747	3335	2895	2532	2291	1885	1302	1293	1081	634	692	368	378	193	174	103	108	56	68	9	2	1370068	16977	17934	17179	17802	18655	18388	17685	18735	18513	18523	18904	18132	18870	18705	18997	18986	19083	18984	19423	19404	19159	18715	18403	17780	17060	16467	17540	16773	16827	19308	17649	16651	17198	17170	17871	19126	20965	20938	20830	21028	20847	19494	20054	20421	20122	19614	19459	18691	18073	17411	17753	17615	17528	17693	14285	14668	14925	15071	13609	14098	13278	12007	12396	11430	12004	11896	11234	11445	11253	10706	10827	10136	10183	10985	10683	9997	9337	8469	9095	8445	7815	7288	6168	5743	5897	4947	4526	3937	3600	3132	2804	2176	1947	1404	1257	669	564	438	434	288	420	33	7
33871648	16843062	254604	245101	242608	255117	262249	275221	275777	280425	284928	291105	282916	269665	262901	256781	258995	246934	241444	248719	256147	254135	258645	245816	243726	245835	246511	248764	240146	256429	261557	278922	288432	269591	266035	266403	275372	297089	293265	291361	290861	290175	298732	272024	277582	266617	261995	255012	238068	228594	220662	216330	213120	197977	200684	195533	155516	152695	147811	146355	129260	121217	119278	112896	110243	100704	99095	96935	88894	89521	88667	89109	88701	80962	80073	77186	75170	71452	69510	63329	63244	56489	49707	42888	38807	32835	29599	27246	21716	18380	14768	12258	9298	7354	5320	4228	3180	2096	1731	1091	921	652	903	77	58	17028586	239018	234439	233282	239410	249191	259100	264669	269657	272860	273387	268729	256446	250449	242438	244017	233085	226197	229599	234905	234333	232085	221400	222025	225814	229908	232394	225831	241053	246577	268567	273605	260443	254319	253417	260911	289559	286486	285830	283672	286979	292020	271748	274599	267583	264891	258933	241913	236626	227441	221057	220066	208847	208036	205063	163360	163485	155152	157910	139395	131746	130187	122535	121426	114013	112029	111371	105382	105507	104025	106869	106411	99467	101709	100678	101089	100218	93818	90261	87780	79905	72839	64955	60312	55079	50306	47125	41522	35817	31403	26810	22430	17422	15323	12441	8942	7188	5311	3906	2792	1925	3848	168	85
4301261	2163954	31102	30552	28679	29922	30370	30627	31388	32301	31406	32402	32947	31299	32000	32248	32076	31098	31187	31343	31997	31990	32928	32286	31803	32504	32739	33963	33045	34191	35586	38738	37665	35144	34234	32990	33446	36221	36552	38011	38303	38522	40467	37969	37827	36838	35428	35987	34059	34267	33242	31607	30116	29132	29773	28094	21600	21735	19777	20840	17895	16066	15496	14582	13879	13340	12937	12156	11414	11544	10747	10810	11183	10108	9739	8988	8191	7617	7429	6804	6763	6019	5513	5002	4120	3715	3321	2916	2303	1815	1687	1251	978	766	683	468	462	189	141	139	69	59	66	0	21	2137307	29938	29738	28189	27992	28494	28991	29276	30677	30360	31653	31675	30112	30526	28975	29977	29074	29222	28974	30224	28459	28769	26377	28567	29746	29450	29983	29147	30674	32336	34149	34476	31706	30052	30705	32225	35533	35541	35900	37430	38383	38145	36786	37490	37104	36952	35659	34352	34765	32077	30807	30378	28736	28571	28666	21119	21589	20901	20615	18107	17325	16009	14950	14207	14269	13467	13526	13131	12497	12946	12694	11827	12123	11728	11484	10659	11149	11127	9487	9904	8738	8034	7482	7224	6018	5659	5445	4846	4155	3646	3252	2635	2211	1732	1295	1011	865	550	485	396	193	409	20	3
3405565	1648523	21977	22674	21390	23989	23619	24198	24954	25229	24612	25548	26492	25276	25078	24028	24578	22612	22664	22115	21900	20908	20253	19437	18376	18776	18187	18073	17256	18979	21849	22910	23866	22975	23278	24316	26874	28188	28852	28177	28307	29641	30258	29577	29330	28338	27493	27033	25548	25213	24006	22567	22758	21904	23087	22890	19069	18027	17907	19131	15951	14676	13150	12918	12119	11587	11942	11659	10263	10072	10783	11285	10389	9914	10378	9714	9559	8999	8357	7822	7996	7195	6676	5962	5683	4783	4343	3283	2944	2564	2077	1875	1215	1208	897	515	444	228	170	99	113	61	98	6	4	1757042	20588	20960	21066	22068	22720	23135	23204	24010	24373	24922	25288	23614	23486	23359	22880	21322	21149	20397	20335	19809	19383	19550	17600	18028	17832	17941	18401	19913	20937	24023	25572	24717	23876	25628	27453	29471	29886	29481	30414	31284	30997	31207	30233	29559	28831	27769	27520	25663	24244	23628	23741	23080	25323	24910	19686	19013	19970	20158	16654	15233	15002	14670	13631	13142	13449	13023	12465	12411	11875	13218	12862	12928	13550	12784	12750	12565	12277	11600	11974	10538	10714	10270	9974	8490	7724	7215	6525	5747	5032	4524	3534	2770	2380	1933	1611	1323	1016	772	454	336	449	35	6
783600	380003	5338	5232	4899	4951	5341	4986	5975	5906	5964	6298	5449	5793	5690	5820	5742	5484	5122	5321	5498	5618	5949	5514	4558	4935	4442	4457	4679	4759	5303	5874	5691	5478	5339	5699	6159	6457	6165	6588	6686	6680	6305	6012	6385	6487	5947	5856	5190	5158	5164	5250	4968	4939	4914	5163	3812	3839	4522	3913	3295	3314	3079	3311	2801	2825	3033	3086	2674	2723	2760	2955	2689	2224	2574	2310	2190	2062	1804	1690	1642	1502	1219	1126	907	878	654	701	518	375	380	251	207	201	83	101	70	60	0	7	10	15	32	0	2	403597	4625	5199	5085	5092	5460	5187	5301	5331	5463	5603	5676	5513	5325	5226	5469	4888	5050	5158	5981	6406	5722	5520	5192	5113	4532	4511	4779	4746	5412	6080	5904	5375	5584	5744	6362	7118	6243	6351	6434	6465	7263	6604	6694	6428	6251	5774	5623	5844	5756	5187	4841	5395	5696	4922	4327	4082	4468	4349	4146	3700	3402	3711	3219	3563	3139	3139	3239	3181	3090	3068	3030	3119	3104	2860	2718	2903	2874	2394	2395	2127	2090	1909	1567	1519	1277	1327	1105	949	828	595	461	439	417	410	187	241	84	141	67	42	92	0	0
572059	268827	3362	3048	3170	3241	3504	3286	3270	3475	3939	3647	3525	3044	2928	2913	2769	2752	2933	2703	4056	5501	5217	4969	4619	4341	4595	4925	4421	5290	4887	5472	5347	4839	4707	4603	4720	5018	5004	4653	4356	4695	4373	3944	4257	3902	4245	3977	3672	3976	3490	3687	3783	3390	3391	3311	2648	2500	2485	2710	2382	2241	1907	2438	1959	1948	1903	1908	1515	1530	1559	1601	1428	1413	1433	1425	1406	1269	1150	1268	1110	942	864	784	548	584	480	403	421	298	302	226	242	137	72	61	47	34	24	37	7	32	0	0	4	303232	3329	3057	2935	3429	3326	3456	3257	3754	3192	3523	3336	3276	2989	2838	2824	2624	2807	2871	4941	6588	5625	5563	5460	5635	6082	5635	5093	5451	5401	5895	5695	4992	4551	4501	4638	4887	4728	4377	4333	4493	4475	4316	4169	4068	4291	4464	4288	3707	4320	4072	4097	3880	3959	3876	3305	3407	3175	2976	2884	2818	2562	2504	2294	1990	2424	2202	2055	2042	2019	2056	2402	1809	2003	2232	2295	2394	1987	1767	1721	1558	1684	1423	1457	1206	1037	1036	938	788	702	599	389	294	395	265	241	104	90	123	21	66	115	0	9
15982378	7787742	94469	95983	93368	96526	100114	101505	103395	105786	108627	111431	111724	109348	107678	107092	107709	103228	103753	102186	103300	100690	102402	94081	93499	92058	90689	92995	92194	97953	104223	111226	110245	103285	105902	108615	113474	127329	126736	129253	129143	130117	131401	125352	126782	120957	116492	116784	108107	104653	102402	100669	99047	94938	97491	99361	76838	78780	81038	82200	73383	70355	69052	68380	70255	67392	68111	68543	64367	69129	68555	70137	69150	66609	66684	65564	62148	59622	55654	52443	50428	45950	41985	36882	33666	29891	25709	22420	18843	15887	13075	10244	8006	6190	4868	3541	2764	1732	1125	815	536	331	632	21	45	8194636	90948	90388	90864	91754	94361	96121	100683	100890	101548	105903	106777	104533	102982	102565	100316	98937	97132	93948	97249	95808	96113	90143	88252	89255	89622	90328	88910	96952	101852	109215	107299	102588	106114	106861	113437	127465	129503	130594	128153	130674	130671	124025	127464	123929	121972	118924	114923	111554	108191	105246	104093	102385	105452	106445	85239	87801	90724	91418	83759	79958	80644	78659	77559	76133	78485	80548	73582	77215	77756	80358	81138	78876	79966	79671	78261	76955	72014	69420	67693	63380	57562	52067	48324	43429	38641	35986	31425	28127	23608	20700	16880	13866	11602	8544	7039	4929	3769	2855	1655	1211	2575	214	105
