248555	81599	166956	119459	35131	35208	-77	12366
293701	137272	156429	115231	30439	31408	-969	10759
295823	174513	121310	91849	21602	23315	-1713	7859
253191	171716	81475	62095	14345	16968	-2623	5035
226448	166425	60023	46465	10339	16316	-5977	3219
176720	135380	41340	32923	6400	13998	-7598	2017
131610	103709	27901	22170	4184	11223	-7039	1547
117054	94368	22686	17894	3647	9837	-6190	1145
114828	95382	19446	15537	3122	6110	-2988	787
99323	81338	17985	14740	2837	4167	-1330	408
74619	58225	16394	12820	3304	2957	347	270
63463	44082	19381	15095	3781	3113	668	505
732378	409776	322602	203833	101461	84078	17383	17308
56014	26954	29060	20326	7627	6565	1062	1107
55703	32381	23322	16215	6051	5378	673	1056
54526	30384	24142	14328	8216	8141	75	1598
51477	16724	34753	19141	12877	11107	1770	2735
50600	12426	38174	23437	11654	10948	706	3083
57335	20288	37047	24396	10344	9446	898	2307
65187	31699	33488	21844	9632	8365	1267	2012
64376	37339	27037	18108	7686	6572	1114	1243
54802	36311	18491	11978	5777	4212	1565	736
48977	34088	14889	9295	5077	3255	1822	517
39628	28748	10880	6270	4340	2535	1805	270
32083	23445	8638	4431	3912	1965	1947	295
29915	23282	6633	3175	3244	1650	1594	214
26818	21552	5266	3353	1883	1336	547	30
21393	17035	4358	2922	1381	1044	337	55
13146	10111	3035	2185	828	849	-21	22
10398	7009	3389	2429	932	710	222	28
15043603	7352091	7691512	5178134	1860772	1253749	607023	652606
1035889	420236	615653	440637	126848	100585	26263	48168
1060724	511717	549007	391090	109483	85612	23871	48434
996231	477207	519024	353668	101942	81891	20051	63414
926114	254272	671842	443127	145388	124138	21250	83327
985848	211420	774428	512091	175495	148163	27332	86842
1077820	316369	761451	521484	165563	137315	28248	74404
1288967	516243	772724	540501	163852	131192	32660	68371
1249045	612112	636933	447314	140568	101573	38995	49051
1091453	599768	491685	344092	110997	72354	38643	36596
971289	562053	409236	273102	109413	57440	51973	26721
819416	486089	333327	203104	110804	43072	67732	19419
734670	441638	293032	163433	113611	33046	80565	15988
730190	466532	263658	141708	109834	29090	80744	12116
728067	511786	216281	130858	76753	29486	47267	8670
613559	452270	161289	107845	48230	28814	19416	5214
408156	297391	110765	79597	28040	24858	3182	3128
326165	214988	111177	84483	23951	25120	-1169	2743
7594476	3735653	3858823	2649844	965558	624853	340705	243421
615493	251316	364177	256851	89061	57692	31369	18265
612358	302985	309373	221519	72453	44695	27758	15401
587737	292421	295316	198143	69800	42966	26834	27373
592923	163711	429212	273629	111823	66948	44875	43760
636267	135727	500540	313394	144508	86877	57631	42638
653428	198509	454919	305785	118257	79764	38493	30877
713850	305989	407861	281608	102751	69376	33375	23502
664593	348756	315837	223200	77235	51909	25326	15402
574260	345268	228992	166467	52877	35117	17760	9648
498089	326715	171374	125305	40375	28423	11952	5694
371884	259932	111952	81663	26197	18933	7264	4092
285688	209256	76432	56305	17777	13635	4142	2350
237928	181927	56001	41444	12959	9104	3855	1598
204365	160905	43460	32782	9477	6742	2735	1201
155131	119381	35750	27120	7985	5108	2877	645
103903	76261	27642	21048	6076	3821	2255	518
86579	56594	29985	23581	5947	3743	2204	457
1134351	643806	490545	318634	125160	201293	-76133	46751
85160	40969	44191	30397	10048	19592	-9544	3746
83316	47479	35837	25370	7246	14874	-7628	3221
80163	45400	34763	23135	7599	14170	-6571	4029
83235	30351	52884	25278	21502	20988	514	6104
82776	25924	56852	31519	19037	30412	-11375	6296
85309	31825	53484	33481	14203	27875	-13672	5800
97227	44498	52729	34793	13281	23188	-9907	4655
99117	56247	42870	30417	8744	17792	-9048	3709
91312	57905	33407	24321	6289	10552	-4263	2797
79628	54867	24761	17639	5321	7548	-2227	1801
59719	43652	16067	11307	3484	4756	-1272	1276
46248	34619	11629	7795	2687	2875	-188	1147
43337	34387	8950	6122	1945	2413	-468	883
42869	35532	7337	5207	1511	1651	-140	619
35065	29009	6056	4747	971	1154	-183	338
22306	17947	4359	3360	810	736	74	189
17564	13195	4369	3746	482	717	-235	141
1196793	593848	602945	399050	182929	149082	33847	20966
100362	40645	59717	39786	18003	13274	4729	1928
104807	55084	49723	33258	14978	10832	4146	1487
109486	54853	54633	36114	15870	13341	2529	2649
94633	18751	75882	50734	21543	25593	-4050	3605
